id;title;description;availability;condition;price;link;image_link;brand;google_product_category;fb_product_category;inventory;sale_price;sale_price_effective_date;item_group_id;gender;color;size;age_group;material;pattern;shipping;shipping_weight
25;Ripador de Fitas;Ripador de Fitas;in stock;new;4,16;https://loja.mirapack.pt/fitas-e-lacos/25-ripador-de-fitas.html;https://loja.mirapack.pt/27-large_default/ripador-de-fitas.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;32;4,16;;;;;;;;;;
34;Palha de Papel - 1 kg;Palha de Papel - 1 kg;in stock;new;9,84;https://loja.mirapack.pt/papel/34-56-palha-de-papel-1-kg.html#/12-cor-natural;https://loja.mirapack.pt/30-large_default/palha-de-papel-1-kg.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;314;9,84;;;;;;;;;;
38;Envelope Gift - Pack 25 un.;Envelope Gift - Pack 25 un.;in stock;new;11,69;https://loja.mirapack.pt/envelopes/38-77-envelope-gift.html#/12-cor-natural/41-dimensoes-298x33;https://loja.mirapack.pt/42-large_default/envelope-gift.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;5;11,69;;;;;;;;;;
42;Envelope Gift Padrão - Pack 25 un;Envelope Gift Padrão - Pack 25 un;in stock;new;2,69;https://loja.mirapack.pt/envelopes/42-80-envelope-gift-padrao-pack-25-un.html#/43-dimensoes-14x28;https://loja.mirapack.pt/44-large_default/envelope-gift-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;30;2,69;;;;;;;;;;
45;Caixa Oval - Pack 25 un.;Caixa Oval - Pack 25 un.;in stock;new;9,69;https://loja.mirapack.pt/caixas/45-82-caixa-oval-pack-25-un.html#/34-cor-azul_marinho/45-dimensoes-11x26;https://loja.mirapack.pt/53-large_default/caixa-oval-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;157;9,69;;;;;;;;;;
46;Caixa Cube;Caixa Cube;in stock;new;1,47;https://loja.mirapack.pt/caixas/46-806-caixa-cube.html#/12-cor-natural/49-dimensoes-20x20x20;https://loja.mirapack.pt/60-large_default/caixa-cube.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;42;1,47;;;;;;;;;;
47;Tabuleiro Leitão - Pack 25 un.;Tabuleiro Leitão - Pack 25 un.;in stock;new;18,88;https://loja.mirapack.pt/caixas/47-tabuleiro-leitao-pack-25-un.html;https://loja.mirapack.pt/591-large_default/tabuleiro-leitao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;18,88;;;;;;;;;;
49;Caixa Gourmet - Pack 15 un.;Caixa Gourmet - Pack 15 un.;in stock;new;36,9;https://loja.mirapack.pt/caixas/49-89-caixa-gourmet.html#/50-cor-bordeaux/53-dimensoes-35x19x105;https://loja.mirapack.pt/62-large_default/caixa-gourmet.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;17;36,9;;;;;;;;;;
50;Caixas Kraft Natural Garrafa - Pack 25 un.;Caixas Kraft Natural Garrafa - Pack 25 un.;in stock;new;11,6;https://loja.mirapack.pt/caixas/50-102-caixas-kraft-natural-garrafa-pack-25-un.html#/56-dimensoes-9x9x395/59-opcao-sem_janela;https://loja.mirapack.pt/73-large_default/caixas-kraft-natural-garrafa-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;15;11,6;;;;;;;;;;
55;Caixa Garrafa Preto - Pack 25 un.;Caixa Garrafa Preto - Pack 25 un.;in stock;new;17,6;https://loja.mirapack.pt/caixas/55-112-caixa-vinho-preto.html#/59-opcao-sem_janela/96-dimensoes-9x9x37;https://loja.mirapack.pt/74-large_default/caixa-vinho-preto.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;4;17,6;;;;;;;;;;
57;Caixa Garrafa Canelado - Onda Avana - Pack 25 un.;Caixa Garrafa Canelado - Onda Avana - Pack 25 un.;in stock;new;21,81;https://loja.mirapack.pt/caixas/57-117-caixa-garrafa-canelado-onda-avana-pack-25-un.html#/98-dimensoes-95x10x40;https://loja.mirapack.pt/77-large_default/caixa-garrafa-canelado-onda-avana-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;4;21,81;;;;;;;;;;
58;Caixa Garrafa em Preto com asa cordão - Pack 20 un.;Caixa Garrafa em Preto com asa cordão - Pack 20 un.;in stock;new;22,63;https://loja.mirapack.pt/caixas/58-119-caixa-garrafa-em-preto-com-asa-cordao-pack-25-un.html#/94-opcao-com_pala/99-dimensoes-11x11x42;https://loja.mirapack.pt/79-large_default/caixa-garrafa-em-preto-com-asa-cordao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;9;22,63;;;;;;;;;;
59;Papel de Embrulho Fundo dourado com estrelas ouro e prata - Pack 25 un.;Papel de Embrulho Fundo dourado com estrelas ouro e prata - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/59-papel-de-embrulho-fundo-dourado-estrelas-ouro-e-prata-pack-25-un.html;https://loja.mirapack.pt/81-large_default/papel-de-embrulho-fundo-dourado-estrelas-ouro-e-prata-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;0;23,06;;;;;;;;;;
60;Papel de Embrulho Cores Lisas - Pack 25 un.;Papel de Embrulho Cores Lisas - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/60-121-papel-de-embrulho-cinza-claro.html#/5-cor-cinza;https://loja.mirapack.pt/82-large_default/papel-de-embrulho-cinza-claro.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;85;23,06;;;;;;;;;;
64;Papel de Embrulho fundo roxo com folhas rosa e ouro - Pack 25 un.;Papel de Embrulho fundo roxo com folhas rosa e ouro - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/64-papel-de-embrulho-fundo-roxo-com-folhas-rosa-e-ouro-pack-15-un.html;https://loja.mirapack.pt/83-large_default/papel-de-embrulho-fundo-roxo-com-folhas-rosa-e-ouro-pack-15-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;16;23,06;;;;;;;;;;
65;Papel de Embrulho vermelho com folhas laranja e ouro - Pack 25 un.;Papel de Embrulho vermelho com folhas laranja e ouro - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/65-papel-de-embrulho-vermelho-com-folhas-laranja-e-ouro-pack-25-un.html;https://loja.mirapack.pt/84-large_default/papel-de-embrulho-vermelho-com-folhas-laranja-e-ouro-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;8;23,06;;;;;;;;;;
67;Papel de Embrulho fundo castanho com círculos prata - Pack de 25 un.;Papel de Embrulho fundo castanho com círculos prata - Pack de 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/67-papel-de-embrulho-fundo-castanho-com-circulos-prata-pack-de-25-un.html;https://loja.mirapack.pt/86-large_default/papel-de-embrulho-fundo-castanho-com-circulos-prata-pack-de-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;23,06;;;;;;;;;;
69;Papel de Embrulho riscas em prata preto e cinza - Pack 25 un.;Papel de Embrulho riscas em prata preto e cinza - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/69-papel-de-embrulho-riscas-em-prata-preto-e-cinza-pack-25-un.html;https://loja.mirapack.pt/88-large_default/papel-de-embrulho-riscas-em-prata-preto-e-cinza-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;8;23,06;;;;;;;;;;
72;Papel de Embrulho dourado com círculos - Pack 25 un.;Papel de Embrulho dourado com círculos - Pack 25 un.;in stock;new;23,06;https://loja.mirapack.pt/papel/67-papel-de-embrulho-fundo-castanho-com-circulos-prata-pack-de-25-un.html;https://loja.mirapack.pt/88-large_default/papel-de-embrulho-riscas-em-prata-preto-e-cinza-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;23,06;;;;;;;;;;
73;Papel de Embrulho fundo preto estrelas prata - Pack 25 un.;Papel de Embrulho fundo preto estrelas prata - Pack 25 un.;in stock;new;15,49;https://loja.mirapack.pt/papel/73-papel-de-embrulho-fundo-preto-estrelas-prata-pack-25-un.html;https://loja.mirapack.pt/91-large_default/papel-de-embrulho-fundo-preto-estrelas-prata-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;15,49;;;;;;;;;;
