id;title;description;availability;condition;price;link;image_link;brand;google_product_category;fb_product_category;inventory;sale_price;sale_price_effective_date;item_group_id;gender;color;size;age_group;material;pattern;shipping;shipping_weight
25;Ripador de Fitas;Ripador de Fitas;in stock;new;4,16;https://www.facebook.com/facebook_ripador-de-fitas;https://loja.mirapack.pt/27-large_default/ripador-de-fitas.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;32;4,16;;;;;;;;;;
34;Palha de Papel - 1 kg;Palha de Papel - 1 kg;in stock;new;9,84;https://www.facebook.com/facebook_palha-de-papel_de_kg;https://loja.mirapack.pt/30-large_default/palha-de-papel-1-kg.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;314;9,84;;;;;;;;;;
38;Envelope Gift - Pack 25 un.;Envelope Gift - Pack 25 un.;in stock;new;11,69;https://www.facebook.com/facebook_envelope_gift;https://loja.mirapack.pt/42-large_default/envelope-gift.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;5;11,69;;;;;;;;;;
42;Envelope Gift Padrão - Pack 25 un;Envelope Gift Padrão - Pack 25 un;in stock;new;2,69;https://www.facebook.com/facebook_envolope_padrao;https://loja.mirapack.pt/44-large_default/envelope-gift-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;30;2,69;;;;;;;;;;
45;Caixa Oval - Pack 25 un.;Caixa Oval - Pack 25 un.;in stock;new;9,69;https://www.facebook.com/facebook_caixa_oval;https://loja.mirapack.pt/53-large_default/caixa-oval-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;157;9,69;;;;;;;;;;
46;Caixa Cube;Caixa Cube;in stock;new;1,47;https://www.facebook.com/facebook_caixa_cube;https://loja.mirapack.pt/60-large_default/caixa-cube.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;42;1,47;;;;;;;;;;
47;Tabuleiro Leitão - Pack 25 un.;Tabuleiro Leitão - Pack 25 un.;in stock;new;18,88;https://www.facebook.com/facebook_tabuleiro_leitao_pack_de_un.;https://loja.mirapack.pt/591-large_default/tabuleiro-leitao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;18,88;;;;;;;;;;
49;Caixa Gourmet - Pack 15 un.;Caixa Gourmet - Pack 15 un.;in stock;new;36,9;https://www.facebook.com/facebook_caixa_gourmet;https://loja.mirapack.pt/62-large_default/caixa-gourmet.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;17;36,9;;;;;;;;;;
50;Caixas Kraft Natural Garrafa - Pack 25 un.;Caixas Kraft Natural Garrafa - Pack 25 un.;in stock;new;11,6;https://www.facebook.com/facebook_caixa_kraft_natural_garrafa;https://loja.mirapack.pt/73-large_default/caixas-kraft-natural-garrafa-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;15;11,6;;;;;;;;;;
55;Caixa Garrafa Preto - Pack 25 un.;Caixa Garrafa Preto - Pack 25 un.;in stock;new;17,6;https://www.facebook.com/facebook_caixa_vinho_preto;https://loja.mirapack.pt/74-large_default/caixa-vinho-preto.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;4;17,6;;;;;;;;;;
57;Caixa Garrafa Canelado - Onda Avana - Pack 25 un.;Caixa Garrafa Canelado - Onda Avana - Pack 25 un.;in stock;new;21,81;https://www.facebook.com/facebook_caixa_garrafa_canelado;https://loja.mirapack.pt/77-large_default/caixa-garrafa-canelado-onda-avana-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;4;21,81;;;;;;;;;;
58;Caixa Garrafa em Preto com asa cordão - Pack 20 un.;Caixa Garrafa em Preto com asa cordão - Pack 20 un.;in stock;new;22,63;https://www.facebook.com/facebook_caixa_garrafa_em_preto_asa_cordao;https://loja.mirapack.pt/79-large_default/caixa-garrafa-em-preto-com-asa-cordao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;9;22,63;;;;;;;;;;
59;Papel de Embrulho Fundo dourado com estrelas ouro e prata - Pack 25 un.;Papel de Embrulho Fundo dourado com estrelas ouro e prata - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_fundo_dourado_com_estrelas_ouro_e_prata;https://loja.mirapack.pt/81-large_default/papel-de-embrulho-fundo-dourado-estrelas-ouro-e-prata-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;0;23,06;;;;;;;;;;
60;Papel de Embrulho Cores Lisas - Pack 25 un.;Papel de Embrulho Cores Lisas - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_cores_lisas;https://loja.mirapack.pt/82-large_default/papel-de-embrulho-cinza-claro.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;85;23,06;;;;;;;;;;
64;Papel de Embrulho fundo roxo com folhas rosa e ouro - Pack 25 un.;Papel de Embrulho fundo roxo com folhas rosa e ouro - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_fundo_roxo_com_folhas_rosa_e_ouro;https://loja.mirapack.pt/83-large_default/papel-de-embrulho-fundo-roxo-com-folhas-rosa-e-ouro-pack-15-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;16;23,06;;;;;;;;;;
65;Papel de Embrulho vermelho com folhas laranja e ouro - Pack 25 un.;Papel de Embrulho vermelho com folhas laranja e ouro - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_vermelho_com_folhas_laranja_e_ouro;https://loja.mirapack.pt/84-large_default/papel-de-embrulho-vermelho-com-folhas-laranja-e-ouro-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;8;23,06;;;;;;;;;;
67;Papel de Embrulho fundo castanho com círculos prata - Pack de 25 un.;Papel de Embrulho fundo castanho com círculos prata - Pack de 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_fundo_castanho_com_círculos_prata;https://loja.mirapack.pt/86-large_default/papel-de-embrulho-fundo-castanho-com-circulos-prata-pack-de-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;23,06;;;;;;;;;;
69;Papel de Embrulho riscas em prata preto e cinza - Pack 25 un.;Papel de Embrulho riscas em prata preto e cinza - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_riscas_em_prata_preto_e_cinza;https://loja.mirapack.pt/88-large_default/papel-de-embrulho-riscas-em-prata-preto-e-cinza-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;8;23,06;;;;;;;;;;
72;Papel de Embrulho dourado com círculos - Pack 25 un.;Papel de Embrulho dourado com círculos - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_dourado_com_círculos;https://loja.mirapack.pt/88-large_default/papel-de-embrulho-riscas-em-prata-preto-e-cinza-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;23,06;;;;;;;;;;
73;Papel de Embrulho fundo preto estrelas prata - Pack 25 un.;Papel de Embrulho fundo preto estrelas prata - Pack 25 un.;in stock;new;15,49;https://www.facebook.com/facebook_papel_de_embrulho_fundo_preto_estrelas_prata;https://loja.mirapack.pt/91-large_default/papel-de-embrulho-fundo-preto-estrelas-prata-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;15,49;;;;;;;;;;
74;Papel de Embrulho xadrez preto, ouro e beje - Pack 25 un.;Papel de Embrulho xadrez preto, ouro e beje - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_ xadrez_preto_ouro_e_beje;https://loja.mirapack.pt/92-large_default/papel-de-embrulho-xadrez-preto-ouro-e-beje-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;2;23,06;;;;;;;;;;
75;Papel de Embrulho roxo com estrelas prata e ouro - Pack 25 un.;Papel de Embrulho roxo com estrelas prata e ouro - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_roxo_com_estrelas_prata_e_ouro;https://loja.mirapack.pt/93-large_default/papel-de-embrulho-roxo-com-estrelas-prata-e-ouro-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;5;23,06;;;;;;;;;;
76;Papel de Embrulho dourado com estrela ouro e prata - Pack 25 un.;Papel de Embrulho dourado com estrela ouro e prata - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_dourado_com_estrela_ouro_e_prata;https://loja.mirapack.pt/94-large_default/papel-de-embrulho-dourado-com-estrela-ouro-e-prata-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;0;23,06;;;;;;;;;;
77;Papel de Embrulho laranja com bonecos de neve - Pack 25 un.;Papel de Embrulho laranja com bonecos de neve - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_laranja_com_bonecos_de_neve;https://loja.mirapack.pt/95-large_default/papel-de-embrulho-laranja-com-bonecos-de-neve-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;23,06;;;;;;;;;;
78;Papel de Embrulho azul com espirais e folhas - Pack 25 un.;Papel de Embrulho azul com espirais e folhas - Pack 25 un.;in stock;new;10,77;https://www.facebook.com/facebook_papel_de_embrulho_azul_com_espirais_e_folhas;https://loja.mirapack.pt/96-large_default/papel-de-embrulho-azul-com-espirais-e-folhas-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;10,77;;;;;;;;;;
79;Papel de Embrulho animais da quinta - Pack 25 un.;Papel de Embrulho animais da quinta - Pack 25 un.;in stock;new;15,49;https://www.facebook.com/facebook_papel_de_embrulho_animais_da_quinta;https://loja.mirapack.pt/97-large_default/papel-de-embrulho-animais-da-quinta-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;2;15,49;;;;;;;;;;
81;Papel de Embrulho bordeaux com linhas douradas - Pack 25 un.;Papel de Embrulho bordeaux com linhas douradas - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_bordeaux_com_linhas_douradas;https://loja.mirapack.pt/103-large_default/papel-de-embrulho-bordeaux-com-linhas-douradas-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;5;23,06;;;;;;;;;;
82;Papel de Embrulho rosa com padrão - Pack 25 un.;Papel de Embrulho rosa com padrão - Pack 25 un.;in stock;new;10,77;https://www.facebook.com/facebook_papel_de_embrulho_rosa_com_padrao;https://loja.mirapack.pt/104-large_default/papel-de-embrulho-rosa-com-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;10,77;;;;;;;;;;
83;Papel de Embrulho beja com padrão - Pack 25 un.;Papel de Embrulho beja com padrão - Pack 25 un.;in stock;new;10,77;https://www.facebook.com/facebook_papel_de_embrulho_beja_com_padrao;https://loja.mirapack.pt/105-large_default/papel-de-embrulho-beja-com-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;1;10,77;;;;;;;;;;
84;Papel de Embrulho tons cinza com padrão - Pack 25 un.;Papel de Embrulho tons cinza com padrão - Pack 25 un.;in stock;new;15,49;https://www.facebook.com/facebook_papel_de_embrulho_tons_cinza_com_padrao;https://loja.mirapack.pt/106-large_default/papel-de-embrulho-tons-cinza-com-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;2;15,49;;;;;;;;;;
85;Papel de Embrulho laranja com padrão de gatos - Pack 25 un.;Papel de Embrulho laranja com padrão de gatos - Pack 25 un.;in stock;new;15,49;https://www.facebook.com/facebook_papel_de_embrulho_laranja_com_padrao_de_gatos;https://loja.mirapack.pt/107-large_default/papel-de-embrulho-laranja-com-padrao-de-gatos-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;10;15,49;;;;;;;;;;
86;Papel de Embrulho tons azuis com padrão - Pack 25 un.;Papel de Embrulho tons azuis com padrão - Pack 25 un.;in stock;new;23,06;https://www.facebook.com/facebook_papel_de_embrulho_tons_azuis_com_padrao;https://loja.mirapack.pt/108-large_default/papel-de-embrulho-tons-azuis-com-padrao-pack-25-un.jpg;mirapack;169,artes e artesanato;169,artes e artesanato;3;23,06;;;;;;;;;;
