id;title;description;availability;condition;price;link;image_link;brand;google_product_category;fb_product_category;inventory;sale_price;sale_price_effective_date;item_group_id;gender;color;size;age_group;material;pattern;shipping;shipping_weight
25;Ripador de Fitas;;em stock;novo;4,16;;;;;;32;4,16;;;;;;;;;;
34;Palha de Papel - 1 kg;;em stock;novo;9,84;;;;;;314;9,84;;;;;;;;;;
38;Envelope Gift - Pack 25 un.;envelope gift, envelope liso;em stock;novo;11,69;;;;;;5;11,69;;;;;;;;;;
42;Envelope Gift Padrão - Pack 25 un;envelope gift, envelope padrão;em stock;novo;2,69;;;;;;30;2,69;;;;;;;;;;
45;Caixa Oval - Pack 25 un.;caixa oval, caixa cartolina;em stock;novo;9,69;;;;;;157;9,69;;;;;;;;;;
46;Caixa Cube;cube, cubo, caixa cube;em stock;novo;1,47;;;;;;42;1,47;;;;;;;;;;
47;Tabuleiro Leitão - Pack 25 un.;leitão, tabuleiro leitão;em stock;novo;18,88;;;;;;3;18,88;;;;;;;;;;
49;Caixa Gourmet - Pack 15 un.;caixa gourmet;em stock;novo;36,9;;;;;;17;36,9;;;;;;;;;;
50;Caixas Kraft Natural Garrafa - Pack 25 un.;caixa vinho, garrafa, caixa kraft;em stock;novo;11,6;;;;;;15;11,6;;;;;;;;;;
55;Caixa Garrafa Preto - Pack 25 un.;;em stock;novo;17,6;;;;;;4;17,6;;;;;;;;;;
57;Caixa Garrafa Canelado - Onda Avana - Pack 25 un.;caixa vinho, garrafa, caixa kraft;em stock;novo;21,81;;;;;;4;21,81;;;;;;;;;;
58;Caixa Garrafa em Preto com asa cordão - Pack 20 un.;caixa vinho, garrafa, caixa preta;em stock;novo;22,63;;;;;;9;22,63;;;;;;;;;;
59;Papel de Embrulho Fundo dourado com estrelas ouro e prata - Pack 25 un.;;em stock;novo;23,06;;;;;;0;23,06;;;;;;;;;;
60;Papel de Embrulho Cores Lisas - Pack 25 un.;;em stock;novo;23,06;;;;;;85;23,06;;;;;;;;;;
64;Papel de Embrulho fundo roxo com folhas rosa e ouro - Pack 25 un.;;em stock;novo;23,06;;;;;;16;23,06;;;;;;;;;;
65;Papel de Embrulho vermelho com folhas laranja e ouro - Pack 25 un.;;em stock;novo;23,06;;;;;;8;23,06;;;;;;;;;;
67;Papel de Embrulho fundo castanho com círculos prata - Pack de 25 un.;;em stock;novo;23,06;;;;;;1;23,06;;;;;;;;;;
69;Papel de Embrulho riscas em prata preto e cinza - Pack 25 un.;;em stock;novo;23,06;;;;;;8;23,06;;;;;;;;;;
72;Papel de Embrulho dourado com círculos - Pack 25 un.;;em stock;novo;23,06;;;;;;1;23,06;;;;;;;;;;
73;Papel de Embrulho fundo preto estrelas prata - Pack 25 un.;;em stock;novo;15,49;;;;;;3;15,49;;;;;;;;;;
74;Papel de Embrulho xadrez preto, ouro e beje - Pack 25 un.;;em stock;novo;23,06;;;;;;2;23,06;;;;;;;;;;
75;Papel de Embrulho roxo com estrelas prata e ouro - Pack 25 un.;;em stock;novo;23,06;;;;;;5;23,06;;;;;;;;;;
76;Papel de Embrulho dourado com estrela ouro e prata - Pack 25 un.;;em stock;novo;23,06;;;;;;0;23,06;;;;;;;;;;
77;Papel de Embrulho laranja com bonecos de neve - Pack 25 un.;;em stock;novo;23,06;;;;;;1;23,06;;;;;;;;;;
78;Papel de Embrulho azul com espirais e folhas - Pack 25 un.;;em stock;novo;10,77;;;;;;1;10,77;;;;;;;;;;
79;Papel de Embrulho animais da quinta - Pack 25 un.;;em stock;novo;15,49;;;;;;2;15,49;;;;;;;;;;
81;Papel de Embrulho bordeaux com linhas douradas - Pack 25 un.;;em stock;novo;23,06;;;;;;5;23,06;;;;;;;;;;
82;Papel de Embrulho rosa com padrão - Pack 25 un.;;em stock;novo;10,77;;;;;;3;10,77;;;;;;;;;;
83;Papel de Embrulho beja com padrão - Pack 25 un.;;em stock;novo;10,77;;;;;;1;10,77;;;;;;;;;;
84;Papel de Embrulho tons cinza com padrão - Pack 25 un.;;em stock;novo;15,49;;;;;;2;15,49;;;;;;;;;;
85;Papel de Embrulho laranja com padrão de gatos - Pack 25 un.;;em stock;novo;15,49;;;;;;10;15,49;;;;;;;;;;
86;Papel de Embrulho tons azuis com padrão - Pack 25 un.;;em stock;novo;23,06;;;;;;3;23,06;;;;;;;;;;
87;Papel de Embrulho verde com padrão - Pack 25 un.;;em stock;novo;23,06;;;;;;4;23,06;;;;;;;;;;
88;Papel de embrulho cinza escuro com padrão - Pack 25 un.;;em stock;novo;23,06;;;;;;23;23,06;;;;;;;;;;
